word	nodeType	unit
other	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
exceptional	ADJ	psyExcerptCopy
manifesta-	ADJ	psyExcerptCopy
peripheral	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
masturba-	ADJ	psyExcerptCopy
same	ADJ	psyExcerptCopy
general	ADJ	psyExcerptCopy
focal	ADJ	psyExcerptCopy
spinal	ADJ	psyExcerptCopy
central	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
cortical	ADJ	psyExcerptCopy
»	ADJ	psyExcerptCopy
advanced	ADJ	psyExcerptCopy
central	ADJ	psyExcerptCopy
emotional	ADJ	psyExcerptCopy
melan-	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
wide	ADJ	psyExcerptCopy
strong	ADJ	psyExcerptCopy
healthy	ADJ	psyExcerptCopy
normal	ADJ	psyExcerptCopy
fective	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
obscene	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
exhausted	ADJ	psyExcerptCopy
tran-	ADJ	psyExcerptCopy
seventeenth	ADJ	psyExcerptCopy
important	ADJ	psyExcerptCopy
incapable	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
unmarried	ADJ	psyExcerptCopy
american	ADJ	psyExcerptCopy
civil	ADJ	psyExcerptCopy
normal	ADJ	psyExcerptCopy
thermic	ADJ	psyExcerptCopy
alcoholic	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
healthy	ADJ	psyExcerptCopy
erotic	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
averse	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
pure	ADJ	psyExcerptCopy
other	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
blank	ADJ	psyExcerptCopy
elementary	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
least	ADJ	psyExcerptCopy
transitional	ADJ	psyExcerptCopy
ingenious	ADJ	psyExcerptCopy
correct	ADJ	psyExcerptCopy
dogmatic	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
limited	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
weak	ADJ	psyExcerptCopy
transitional	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
many	ADJ	psyExcerptCopy
vicious	ADJ	psyExcerptCopy
interesting	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
ethical	ADJ	psyExcerptCopy
worthy	ADJ	psyExcerptCopy
nervous	ADJ	psyExcerptCopy
epileptic	ADJ	psyExcerptCopy
acute	ADJ	psyExcerptCopy
affectionate	ADJ	psyExcerptCopy
cold	ADJ	psyExcerptCopy
peculiar	ADJ	psyExcerptCopy
much	ADJ	psyExcerptCopy
fifteenth	ADJ	psyExcerptCopy
eccentric	ADJ	psyExcerptCopy
continual	ADJ	psyExcerptCopy
religious	ADJ	psyExcerptCopy
natural	ADJ	psyExcerptCopy
absolute	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
opposite	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
absurd	ADJ	psyExcerptCopy
emotional	ADJ	psyExcerptCopy
philosophical	ADJ	psyExcerptCopy
justifiable	ADJ	psyExcerptCopy
various	ADJ	psyExcerptCopy
destitute	ADJ	psyExcerptCopy
moral	ADJ	psyExcerptCopy
social	ADJ	psyExcerptCopy
close	ADJ	psyExcerptCopy
incredible	ADJ	psyExcerptCopy
wide	ADJ	psyExcerptCopy
incomparable	ADJ	psyExcerptCopy
lt;â€¢	ADJ	psyExcerptCopy
false	ADJ	psyExcerptCopy
philosophical	ADJ	psyExcerptCopy
indifferent	ADJ	psyExcerptCopy
short	ADJ	psyExcerptCopy
cathartic	ADJ	psyExcerptCopy
other	ADJ	psyExcerptCopy
foolish	ADJ	psyExcerptCopy
fatal	ADJ	psyExcerptCopy
large	ADJ	psyExcerptCopy
rhombic	ADJ	psyExcerptCopy
left	ADJ	psyExcerptCopy
flat	ADJ	psyExcerptCopy
straight	ADJ	psyExcerptCopy
projecting	ADJ	psyExcerptCopy
external	ADJ	psyExcerptCopy
narrow	ADJ	psyExcerptCopy
lax	ADJ	psyExcerptCopy
soft	ADJ	psyExcerptCopy
small	ADJ	psyExcerptCopy
useless	ADJ	psyExcerptCopy
inter-	ADJ	psyExcerptCopy
minable	ADJ	psyExcerptCopy
distressing	ADJ	psyExcerptCopy
worrying	ADJ	psyExcerptCopy
fatigued	ADJ	psyExcerptCopy
capable	ADJ	psyExcerptCopy
rational	ADJ	psyExcerptCopy
unimproved	ADJ	psyExcerptCopy
new	ADJ	psyExcerptCopy
subject	ADJ	psyExcerptCopy
grand	ADJ	psyExcerptCopy
sudden	ADJ	psyExcerptCopy
maniacal	ADJ	psyExcerptCopy
primordial	ADJ	psyExcerptCopy
anti	ADJ	psyExcerptCopy
-	ADJ	psyExcerptCopy
christ	ADJ	psyExcerptCopy
persecutory	ADJ	psyExcerptCopy
pulsive	ADJ	psyExcerptCopy
incoherent	ADJ	psyExcerptCopy
intercurrent	ADJ	psyExcerptCopy
acute	ADJ	psyExcerptCopy
mental	ADJ	psyExcerptCopy
original	ADJ	psyExcerptCopy
intellectual	ADJ	psyExcerptCopy
moral	ADJ	psyExcerptCopy
own	ADJ	psyExcerptCopy
impossible	ADJ	psyExcerptCopy
child-	ADJ	psyExcerptCopy
abnormal	ADJ	psyExcerptCopy
violent	ADJ	psyExcerptCopy
lively	ADJ	psyExcerptCopy
irritable	ADJ	psyExcerptCopy
irascible	ADJ	psyExcerptCopy
selfish	ADJ	psyExcerptCopy
weak	ADJ	psyExcerptCopy
minded	ADJ	psyExcerptCopy
silly	ADJ	psyExcerptCopy
late	ADJ	psyExcerptCopy
pregnant	ADJ	psyExcerptCopy
responsible	ADJ	psyExcerptCopy
communistic	ADJ	psyExcerptCopy
rich	ADJ	psyExcerptCopy
poor	ADJ	psyExcerptCopy
well	ADJ	psyExcerptCopy
fifteenth	ADJ	psyExcerptCopy
female	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
natural	ADJ	psyExcerptCopy
natuiâ£	ADJ	psyExcerptCopy
powerful	ADJ	psyExcerptCopy
muscular	ADJ	psyExcerptCopy
numerous	ADJ	psyExcerptCopy
right	ADJ	psyExcerptCopy
moody	ADJ	psyExcerptCopy
defiant	ADJ	psyExcerptCopy
irritable	ADJ	psyExcerptCopy
social	ADJ	psyExcerptCopy
foreign	ADJ	psyExcerptCopy
imperfect	ADJ	psyExcerptCopy
frequent	ADJ	psyExcerptCopy
functional	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
func-	ADJ	psyExcerptCopy
generative	ADJ	psyExcerptCopy
certain	ADJ	psyExcerptCopy
old	ADJ	psyExcerptCopy
weak	ADJ	psyExcerptCopy
strong	ADJ	psyExcerptCopy
complete	ADJ	psyExcerptCopy
indifferent	ADJ	psyExcerptCopy
genital	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
satisfying	ADJ	psyExcerptCopy
additional	ADJ	psyExcerptCopy
defective	ADJ	psyExcerptCopy
cerebral	ADJ	psyExcerptCopy
mild	ADJ	psyExcerptCopy
characteristic	ADJ	psyExcerptCopy
slight	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
corresponding	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
pleasurable	ADJ	psyExcerptCopy
such	ADJ	psyExcerptCopy
neuropathic	ADJ	psyExcerptCopy
same	ADJ	psyExcerptCopy
hysterical	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
various	ADJ	psyExcerptCopy
organic	ADJ	psyExcerptCopy
functional	ADJ	psyExcerptCopy
psychical	ADJ	psyExcerptCopy
somatic	ADJ	psyExcerptCopy
central	ADJ	psyExcerptCopy
peripheral	ADJ	psyExcerptCopy
temporary	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
logical	ADJ	psyExcerptCopy
sexual	ADJ	psyExcerptCopy
dependent	ADJ	psyExcerptCopy
individual	ADJ	psyExcerptCopy
